id,name,description,price,category,restaurant_id,is_active,created_at,updated_at
13,Pollo a la Parrilla,Pechuga de pollo asada,5.49,Parrilla,16,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
14,Costillas BBQ,Costillas de cerdo con salsa BBQ,9.99,Parrilla,14,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
15,Ensalada Mixta,"Lechuga, tomate, zanahoria y pepino",3.99,Ensaladas,8,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
16,Spaghetti Boloñesa,Pasta con salsa de carne,6.99,Italiana,1,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
17,Lasaña,"Capas de pasta, carne y queso",7.99,Italiana,20,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
18,Pan de Ajo,Pan horneado con ajo y mantequilla,2.49,Acompañamientos,5,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
19,Nachos con Queso,Totopos con queso fundido,3.99,Mexicana,20,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
20,Guacamole,"Aguacate, tomate, cebolla y limón",2.99,Mexicana,14,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
21,Agua de Horchata,Bebida de arroz y canela,1.99,Bebidas,3,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
22,Café Americano,Café negro,1.49,Bebidas,12,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
23,Té Helado,Té frío con limón,1.79,Bebidas,8,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
24,Brownie,Pastel de chocolate,2.99,Postres,10,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
25,Helado de Vainilla,Helado cremoso de vainilla,2.49,Postres,2,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
26,Flan,Postre de huevo y caramelo,2.99,Postres,10,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
27,Sopa Azteca,Sopa de tortilla con chile y queso,4.99,Mexicana,3,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
28,Tostadas de Pollo,Tortilla crujiente con pollo y verduras,3.99,Mexicana,11,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
29,Croissant,Pan francés hojaldrado,2.29,Panadería,16,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
30,Bagel,Pan redondo con semillas,2.19,Panadería,13,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
31,Jugo de Manzana,Bebida natural de manzana,2.49,Bebidas,4,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
32,Sándwich de Jamón,"Pan, jamón, queso y lechuga",3.49,Comida rápida,20,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
33,Hot Dog,"Pan, salchicha y aderezos",2.99,Comida rápida,6,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
34,Empanada de Pollo,Masa rellena de pollo,2.79,Panadería,12,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
35,Muffin de Arándanos,Panquecillo con arándanos,2.59,Postres,11,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
36,Ensalada de Frutas,Frutas frescas de temporada,3.49,Ensaladas,4,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
37,Sopa de Pollo,Caldo con pollo y verduras,4.49,Sopas,3,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
38,Té Verde,Bebida caliente de té verde,1.69,Bebidas,13,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
39,Smoothie de Fresa,Batido de fresa y yogur,3.29,Bebidas,8,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
40,Pizza Pepperoni,Pizza con pepperoni y queso,8.49,Italiana,4,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
41,Sopa Miso,Sopa japonesa de miso y tofu,3.99,Japonesa,12,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
